tick,t,FR_hip_joint_q,FR_hip_joint_dq,FR_thigh_joint_q,FR_thigh_joint_dq,FR_calf_joint_q,FR_calf_joint_dq,FL_hip_joint_q,FL_hip_joint_dq,FL_thigh_joint_q,FL_thigh_joint_dq,FL_calf_joint_q,FL_calf_joint_dq,RR_hip_joint_q,RR_hip_joint_dq,RR_thigh_joint_q,RR_thigh_joint_dq,RR_calf_joint_q,RR_calf_joint_dq,RL_hip_joint_q,RL_hip_joint_dq,RL_thigh_joint_q,RL_thigh_joint_dq,RL_calf_joint_q,RL_calf_joint_dq,root_x,root_y,root_z,root_qw,root_qx,root_qy,root_qz,root_vx,root_vy,root_vz,root_wx,root_wy,root_wz
5252,10.5040,-0.012433,-0.492685,0.876796,8.193380,-2.022337,-1.781217,0.010365,0.487113,0.881752,8.326462,-2.013262,-1.658560,-0.005124,-0.199326,1.249494,-7.492389,-2.184341,-6.540784,0.006364,0.205093,1.250472,-7.375055,-2.184508,-6.562007,14.98274,0.01570,0.24609,0.999674,0.004272,0.025165,0.000803,1.98761,-0.01917,-0.05982,-0.06342,0.84396,0.17982
5253,10.5060,-0.013334,-0.450528,0.893445,8.324921,-2.025210,-1.436479,0.011281,0.458015,0.898648,8.448049,-2.015991,-1.364766,-0.005515,-0.195530,1.233217,-8.138313,-2.195336,-5.497469,0.006753,0.194725,1.234422,-8.024782,-2.195538,-5.514982,14.98671,0.01566,0.24602,0.999657,0.004180,0.025846,0.000980,1.98720,-0.01836,-0.03659,-0.08775,0.68088,0.18219
5254,10.5080,-0.014137,-0.401447,0.910343,8.448982,-2.027346,-1.067704,0.012123,0.420815,0.915773,8.562824,-2.018083,-1.045855,-0.005890,-0.187443,1.215804,-8.706563,-2.204019,-4.341697,0.007115,0.180808,1.217227,-8.597654,-2.204249,-4.355477,14.99069,0.01563,0.24599,0.999644,0.004066,0.026361,0.001160,1.98789,-0.01757,-0.01348,-0.11058,0.51369,0.18470
5255,10.5100,-0.014828,-0.345408,0.927476,8.566181,-2.028714,-0.684319,0.012874,0.375465,0.933116,8.671306,-2.019503,-0.710108,-0.006240,-0.174941,1.197400,-9.202246,-2.210216,-3.098191,0.007441,0.163182,1.199030,-9.098647,-2.210466,-3.108351,14.99467,0.01560,0.24601,0.999635,0.003929,0.026708,0.001342,1.98951,-0.01681,0.00901,-0.13175,0.34670,0.18729
5256,10.5120,-0.015393,-0.282625,0.944830,8.677149,-2.029305,-0.295129,0.013518,0.322158,0.950664,8.774018,-2.020234,-0.365345,-0.006556,-0.158022,1.178139,-9.630554,-2.213802,-1.793422,0.007725,0.141825,1.179964,-9.532822,-2.214066,-1.800151,14.99865,0.01556,0.24607,0.999630,0.003774,0.026893,0.001527,1.99190,-0.01608,0.03036,-0.15111,0.18352,0.18990
5257,10.5140,-0.015820,-0.213761,0.962395,8.782404,-2.029121,0.091939,0.014041,0.261743,0.968415,8.875673,-2.020273,-0.019583,-0.006830,-0.136789,1.158145,-9.996878,-2.214712,-0.454766,0.007958,0.116811,1.160153,-9.905518,-2.214983,-0.458278,15.00264,0.01553,0.24617,0.999630,0.003600,0.026921,0.001715,1.99487,-0.01539,0.05010,-0.16858,0.02701,0.19250
5258,10.5160,-0.016104,-0.141646,0.980156,8.880621,-2.028182,0.469507,0.014439,0.198941,0.986281,8.932626,-2.019616,0.328262,-0.007049,-0.109760,1.137528,-10.308696,-2.212931,0.890590,0.008131,0.086180,1.139702,-10.225596,-2.213202,0.890638,15.00664,0.01550,0.24631,0.999633,0.003410,0.026801,0.001905,1.99822,-0.01473,0.06782,-0.18401,-0.12060,0.19510
5259,10.5180,-0.016241,-0.068825,0.998111,8.977301,-2.026521,0.830430,0.014713,0.136630,1.004126,8.922646,-2.018268,0.674220,-0.007204,-0.077353,1.116383,-10.572390,-2.208499,2.215715,0.008231,0.050010,1.118702,-10.499957,-2.208762,2.219660,15.01064,0.01548,0.24647,0.999640,0.003209,0.026546,0.002100,2.00141,-0.01422,0.08345,-0.19571,-0.25586,0.19907
5260,10.5200,-0.016246,-0.002442,1.016110,8.999569,-2.024157,1.181849,0.014865,0.076444,1.021847,8.860808,-2.016253,1.007381,-0.007281,-0.038495,1.094788,-10.797395,-2.201508,3.495898,0.008247,0.008221,1.097232,-10.734808,-2.201757,3.502423,15.01465,0.01545,0.24667,0.999650,0.003000,0.026171,0.002301,2.00403,-0.01389,0.09686,-0.20266,-0.37681,0.20518
5261,10.5220,-0.016130,0.057908,1.034017,8.953586,-2.021124,1.516524,0.014902,0.018170,1.039366,8.759161,-2.013612,1.320609,-0.007274,0.003692,1.072814,-10.986958,-2.192096,4.705648,0.008175,-0.035865,1.075367,-10.932757,-2.192330,4.713661,15.01866,0.01542,0.24688,0.999663,0.002786,0.025691,0.002508,2.00548,-0.01356,0.10819,-0.20812,-0.48099,0.21097
