rev,vy,first_swing,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived
v5only,-0.036,1,28,83,0.418,0.532,166.8,1.01,199,26,62,303.9,16.875,5.834,FELL
v5only,+0.055,0,7,640,0.432,0.538,95.7,1.00,156,17,24,268.6,5.675,5.834,FELL
v5only,+0.036,1,31,105,0.444,0.523,60.5,1.01,129,15,0,0.0,18.760,5.834,FELL
v5only,-0.045,1,14,92,0.437,0.527,102.9,1.01,174,33,45,91.5,9.580,5.834,FELL
v5only,+0.055,1,9,472,0.390,0.521,462.8,1.00,204,58,7,64.4,6.925,5.834,FELL
v5only,-0.055,0,8,520,0.391,0.521,246.0,1.00,199,22,9,236.5,6.200,5.834,FELL
v5only,-0.036,0,40,47,0.409,0.543,297.6,1.01,195,19,11,37.3,24.040,5.834,FELL
v5only,-0.055,1,8,583,0.387,0.532,468.9,1.01,160,23,22,45.8,6.300,5.834,FELL
v6only,+0.018,1,3,0,0.462,0.521,127.0,1.00,168,5,56,386.5,3.300,6.862,FELL
v5only,+0.045,1,34,137,0.344,0.525,274.8,1.01,184,33,2,172.1,20.590,5.834,FELL
v5only,+0.036,0,40,101,0.469,0.016,24.2,1.00,79,17,0,0.0,,5.834,SURVIVED
v6only,-0.018,0,4,-0,0.400,0.521,445.3,1.00,204,8,76,394.6,4.045,6.862,FELL
v6only,+0.022,0,5,0,0.457,0.530,69.2,1.00,140,5,91,469.9,4.400,6.862,FELL
v6only,+0.026,0,6,0,0.458,0.531,139.8,1.00,161,2,108,413.3,4.945,6.862,FELL
v6only,+0.026,1,7,2264,0.445,0.527,132.8,1.01,197,13,120,432.5,5.490,6.862,FELL
v6only,-0.026,0,7,2324,0.443,0.522,155.5,1.00,201,6,122,437.3,5.505,6.862,FELL
v6only,+0.030,0,5,0,0.443,0.521,97.9,1.00,198,9,105,401.1,4.405,6.862,FELL
v6only,+0.030,1,4,0,0.443,0.535,107.7,1.00,190,1,88,377.3,3.840,6.862,FELL
v6only,-0.030,0,4,-0,0.438,0.532,264.1,1.00,147,5,76,469.2,4.000,6.862,FELL
v6only,-0.030,1,4,-0,0.432,0.531,191.4,1.00,164,9,97,384.3,3.915,6.862,FELL
v6only,+0.018,0,40,105,0.476,0.007,10.7,1.00,62,14,350,22.1,,6.862,SURVIVED
v6only,+0.036,1,5,0,0.440,0.538,186.3,1.00,186,9,83,410.9,4.410,6.862,FELL
v6only,+0.036,0,6,0,0.429,0.528,276.6,1.00,201,4,111,443.3,5.030,6.862,FELL
v6only,-0.018,1,40,105,0.467,0.250,13.6,1.00,115,19,380,37.5,,6.862,SURVIVED
v6only,-0.036,0,4,-0,0.455,0.532,133.1,1.00,140,6,84,363.5,3.875,6.862,FELL
