rev,vy,first_swing,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived,cond,MOM,KP_MOM,MOM_LEVEL
v6,-0.055,0,5,-0,0.448,0.536,101.7,1.00,208,3,99,380.2,4.370,6.338,FELL,merge kp=10,1,10,post_merge
v6,+0.030,1,40,93,0.465,0.263,11.8,1.00,115,10,575,25.1,,6.338,SURVIVED,merge kp=10,1,10,post_merge
v6,-0.055,1,9,-276,0.438,0.524,327.6,1.00,135,11,182,423.3,6.415,6.338,FELL,merge kp=10,1,10,post_merge
v6,-0.030,0,40,93,0.465,0.263,12.1,1.00,115,5,575,33.3,,6.338,SURVIVED,merge kp=10,1,10,post_merge
v6,-0.030,1,40,102,0.465,0.331,49.5,1.01,131,15,616,180.3,,6.338,SURVIVED,merge kp=10,1,10,post_merge
v6,+0.036,0,40,101,0.476,0.005,11.6,1.00,64,10,680,21.6,,6.338,SURVIVED,merge kp=10,1,10,post_merge
v6,-0.018,1,6,-0,0.458,0.539,118.2,1.00,146,3,106,367.6,4.945,6.338,FELL,merge kp=30,1,30,post_merge
v6,-0.022,0,5,-0,0.459,0.529,103.9,1.00,134,3,91,353.3,4.385,6.338,FELL,merge kp=30,1,30,post_merge
v6,-0.036,1,40,101,0.476,0.005,11.5,1.00,63,4,680,21.5,,6.338,SURVIVED,merge kp=10,1,10,post_merge
v6,+0.022,1,7,2937,0.423,0.522,269.3,1.00,166,2,125,405.1,5.580,6.338,FELL,merge kp=30,1,30,post_merge
v6,+0.026,1,4,0,0.426,0.522,276.5,1.00,149,4,81,366.1,3.985,6.338,FELL,merge kp=30,1,30,post_merge
v6,-0.026,0,4,-0,0.408,0.537,369.2,1.00,138,3,77,370.7,4.035,6.338,FELL,merge kp=30,1,30,post_merge
v6,+0.026,0,6,0,0.419,0.528,299.8,1.00,201,1,109,387.5,5.015,6.338,FELL,merge kp=30,1,30,post_merge
v6,-0.026,1,6,-0,0.441,0.530,152.6,1.00,201,5,104,388.0,4.950,6.338,FELL,merge kp=30,1,30,post_merge
v6,+0.030,1,9,405,0.446,0.525,135.6,1.01,175,6,160,509.1,6.600,6.338,FELL,merge kp=30,1,30,post_merge
v6,+0.018,0,40,105,0.476,0.005,11.5,1.00,64,11,459,21.7,,6.338,SURVIVED,merge kp=30,1,30,post_merge
v6,+0.018,1,40,89,0.465,0.268,15.2,1.00,117,4,495,29.5,,6.338,SURVIVED,merge kp=30,1,30,post_merge
v6,-0.018,0,40,89,0.465,0.268,15.3,1.01,118,6,496,37.5,,6.338,SURVIVED,merge kp=30,1,30,post_merge
v6,+0.022,0,40,104,0.476,0.005,11.7,1.00,62,7,480,21.4,,6.338,SURVIVED,merge kp=30,1,30,post_merge
v6,+0.036,1,5,0,0.424,0.529,341.8,1.00,199,4,96,419.8,4.490,6.338,FELL,merge kp=30,1,30,post_merge
v6,-0.036,0,5,-0,0.430,0.531,266.8,1.00,202,4,99,426.3,4.440,6.338,FELL,merge kp=30,1,30,post_merge
v6,-0.022,1,40,104,0.476,0.005,11.7,1.00,63,4,481,21.4,,6.338,SURVIVED,merge kp=30,1,30,post_merge
v6,+0.045,0,4,0,0.436,0.530,265.0,1.00,175,3,78,399.8,3.895,6.338,FELL,merge kp=30,1,30,post_merge
v6,+0.045,1,9,248,0.443,0.533,77.6,1.00,156,11,180,762.8,6.615,6.338,FELL,merge kp=30,1,30,post_merge
v6,+0.030,0,40,102,0.476,0.006,11.8,1.00,64,12,541,20.4,,6.338,SURVIVED,merge kp=30,1,30,post_merge
v6,-0.045,0,9,354,0.454,0.524,211.0,1.00,137,1,186,705.4,6.640,6.338,FELL,merge kp=30,1,30,post_merge
v6,-0.045,1,10,234,0.447,0.528,42.0,1.00,163,8,192,842.1,7.105,6.338,FELL,merge kp=30,1,30,post_merge
v6,-0.030,0,40,93,0.465,0.262,11.8,1.00,115,4,578,25.1,,6.338,SURVIVED,merge kp=30,1,30,post_merge
v6,+0.055,1,5,0,0.444,0.525,125.6,1.00,210,2,110,421.7,4.365,6.338,FELL,merge kp=30,1,30,post_merge
v6,+0.055,0,9,-372,0.406,0.539,345.7,1.00,190,7,172,424.2,6.445,6.338,FELL,merge kp=30,1,30,post_merge
v6,-0.055,0,5,-0,0.446,0.531,116.1,1.00,208,2,98,380.4,4.375,6.338,FELL,merge kp=30,1,30,post_merge
v6,-0.030,1,40,102,0.476,0.006,11.8,1.00,63,3,541,21.0,,6.338,SURVIVED,merge kp=30,1,30,post_merge
v6,-0.055,1,9,-331,0.415,0.522,362.2,1.00,147,4,179,424.8,6.475,6.338,FELL,merge kp=30,1,30,post_merge
v6,+0.036,0,40,101,0.476,0.005,11.5,1.00,62,7,680,22.7,,6.338,SURVIVED,merge kp=30,1,30,post_merge
v6,+0.022,1,5,0,0.461,0.538,120.0,1.00,148,1,94,354.0,4.390,6.338,FELL,merge kp=100,1,100,post_merge
v6,-0.036,1,40,101,0.476,0.005,11.5,1.00,62,2,680,22.9,,6.338,SURVIVED,merge kp=30,1,30,post_merge
v6,-0.022,0,7,2644,0.437,0.520,183.1,1.00,180,14,138,405.1,5.540,6.338,FELL,merge kp=100,1,100,post_merge
v6,+0.026,0,6,0,0.423,0.530,282.2,1.00,197,2,108,390.9,5.020,6.338,FELL,merge kp=100,1,100,post_merge
v6,+0.026,1,4,0,0.403,0.528,386.9,1.01,157,1,75,365.9,4.040,6.338,FELL,merge kp=100,1,100,post_merge
v6,-0.026,0,4,-0,0.424,0.529,253.0,1.00,147,5,82,366.3,3.980,6.338,FELL,merge kp=100,1,100,post_merge
v6,-0.026,1,6,-0,0.427,0.534,232.7,1.00,205,2,109,391.4,5.005,6.338,FELL,merge kp=100,1,100,post_merge
v6,+0.018,0,40,105,0.476,0.005,11.5,1.00,62,11,460,21.8,,6.338,SURVIVED,merge kp=100,1,100,post_merge
v6,+0.018,1,40,89,0.465,0.268,15.2,1.00,118,5,495,37.9,,6.338,SURVIVED,merge kp=100,1,100,post_merge
v6,-0.018,0,40,89,0.465,0.268,15.1,1.00,117,4,497,29.5,,6.338,SURVIVED,merge kp=100,1,100,post_merge
v6,-0.018,1,40,105,0.476,0.005,11.4,1.00,64,11,463,21.8,,6.338,SURVIVED,merge kp=100,1,100,post_merge
v6,+0.022,0,40,104,0.476,0.005,11.7,1.00,64,7,474,21.4,,6.338,SURVIVED,merge kp=100,1,100,post_merge
v6,-0.030,1,6,-0,0.432,0.520,188.2,1.01,204,5,118,438.6,4.925,6.338,FELL,merge kp=100,1,100,post_merge
v6,-0.036,0,5,-0,0.418,0.537,296.2,1.00,202,4,93,424.0,4.480,6.338,FELL,merge kp=100,1,100,post_merge
v6,-0.030,0,11,255,0.449,0.524,106.4,1.00,206,3,172,426.1,7.660,6.338,FELL,merge kp=100,1,100,post_merge
v6,-0.022,1,40,104,0.476,0.005,11.7,1.00,63,5,473,21.4,,6.338,SURVIVED,merge kp=100,1,100,post_merge
v6,+0.045,0,8,616,0.446,0.535,172.0,1.00,160,6,164,497.2,6.110,6.338,FELL,merge kp=100,1,100,post_merge
v6,+0.045,1,9,297,0.450,0.533,127.1,1.01,193,5,182,708.9,6.615,6.338,FELL,merge kp=100,1,100,post_merge
