rev,vy,first_swing,MU_GROUND,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived,cond,SOLE_HALF_W
v2base,+0.073,0,1.5,14,143,0.419,0.528,155.9,1.01,221,51,63,255.6,9.205,6.630,FELL,mu 1.5,
v2base,+0.073,1,1.5,12,202,0.424,0.523,276.0,1.00,144,39,1,24.2,8.325,6.630,FELL,mu 1.5,
v2base,-0.065,1,1.5,20,116,0.436,0.533,65.5,1.01,146,75,0,0.0,12.820,6.630,FELL,mu 1.5,
v2base,+0.055,0,1.5,40,100,0.475,0.014,17.2,1.00,104,78,0,0.0,,6.630,SURVIVED,mu 1.5,
v2base,+0.055,1,1.5,40,95,0.475,0.013,17.1,1.00,105,97,0,0.0,,6.630,SURVIVED,mu 1.5,
v2base,-0.055,0,1.5,40,95,0.475,0.016,17.7,1.00,105,101,0,0.0,,6.630,SURVIVED,mu 1.5,
v2base,-0.073,0,1.5,8,153,0.424,0.581,205.7,1.01,141,52,3,183.0,6.275,6.630,FELL,mu 1.5,
v2base,+0.065,0,1.5,40,100,0.462,0.136,44.4,1.01,111,68,0,0.0,,6.630,SURVIVED,mu 1.5,
v2base,-0.055,1,1.5,40,100,0.475,0.016,15.4,1.00,105,104,0,0.0,,6.630,SURVIVED,mu 1.5,
v2base,-0.073,1,1.5,11,41,0.407,0.548,613.1,1.01,205,55,17,225.8,7.675,6.630,FELL,mu 1.5,
v2base,+0.091,1,1.5,8,-257,0.368,0.531,752.5,1.01,209,66,7,127.6,6.115,6.630,FELL,mu 1.5,
v2base,-0.091,0,1.5,8,53,0.438,0.525,359.6,1.01,185,49,71,216.9,6.155,6.630,FELL,mu 1.5,
v2base,+0.091,0,1.5,13,171,0.432,0.537,302.1,1.00,194,61,40,129.5,8.685,6.630,FELL,mu 1.5,
v2base,-0.091,1,1.5,7,282,0.399,0.537,239.1,1.01,199,45,5,61.2,5.770,6.630,FELL,mu 1.5,
v2base,+0.045,0,2.0,40,101,0.474,0.012,7.1,1.00,86,263,0,0.0,,6.630,SURVIVED,mu 2.0,
v2base,+0.045,1,2.0,40,95,0.474,0.012,10.0,1.00,91,244,0,0.0,,6.630,SURVIVED,mu 2.0,
v2base,-0.045,0,2.0,40,95,0.474,0.014,7.8,1.00,91,265,0,0.0,,6.630,SURVIVED,mu 2.0,
v2base,-0.045,1,2.0,40,101,0.474,0.021,10.1,1.00,88,245,0,0.0,,6.630,SURVIVED,mu 2.0,
v2base,+0.050,0,2.0,40,100,0.474,0.011,18.8,1.00,86,252,0,0.0,,6.630,SURVIVED,mu 2.0,
v2base,+0.050,1,2.0,40,95,0.474,0.020,19.0,1.00,92,253,0,0.0,,6.630,SURVIVED,mu 2.0,
v2base,-0.050,0,2.0,40,95,0.474,0.011,18.9,1.00,90,295,0,0.0,,6.630,SURVIVED,mu 2.0,
v2base,-0.050,1,2.0,40,100,0.474,0.014,18.1,1.00,87,261,0,0.0,,6.630,SURVIVED,mu 2.0,
v2base,+0.055,0,2.0,40,100,0.474,0.012,19.0,1.00,86,234,0,0.0,,6.630,SURVIVED,mu 2.0,
v2base,+0.055,1,2.0,40,95,0.474,0.014,18.8,1.00,93,231,0,0.0,,6.630,SURVIVED,mu 2.0,
v2base,-0.055,0,2.0,40,95,0.474,0.014,19.2,1.00,94,244,0,0.0,,6.630,SURVIVED,mu 2.0,
v2base,-0.055,1,2.0,40,100,0.474,0.013,19.1,1.00,86,253,0,0.0,,6.630,SURVIVED,mu 2.0,
v2base,+0.065,0,2.0,40,100,0.474,0.017,19.5,1.00,105,214,0,0.0,,6.630,SURVIVED,mu 2.0,
v2base,+0.065,1,2.0,40,96,0.474,0.017,16.8,1.00,105,219,0,0.0,,6.630,SURVIVED,mu 2.0,
v2base,-0.065,0,2.0,40,96,0.474,0.014,21.6,1.00,115,314,0,0.0,,6.630,SURVIVED,mu 2.0,
v2base,-0.065,1,2.0,40,100,0.469,0.034,31.6,1.00,108,259,0,0.0,,6.630,SURVIVED,mu 2.0,
v2base,+0.073,0,2.0,12,147,0.445,0.522,104.9,1.01,206,77,0,0.0,8.360,6.630,FELL,mu 2.0,
v2base,+0.073,1,2.0,10,283,0.408,0.550,294.2,1.00,144,88,1,243.4,7.055,6.630,FELL,mu 2.0,
v2base,+0.091,0,2.0,9,308,0.397,0.539,309.2,1.01,163,69,8,79.2,6.535,6.630,FELL,mu 2.0,
