rev,vy,first_swing,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived,cond,MOM,KP_MOM,MOM_LEVEL,MOM_AXES
v6,-0.026,1,2,-0,0.414,0.552,160.5,1.00,161,18,466,219.4,2.900,6.338,FELL,swing> kp=3,1,3,swing_before,
v6,+0.026,1,3,0,0.401,0.548,279.4,1.01,138,32,501,170.1,3.360,6.338,FELL,swing> kp=3,1,3,swing_before,
v6,-0.026,0,3,-0,0.419,0.533,309.9,1.01,174,15,524,165.0,3.405,6.338,FELL,swing> kp=3,1,3,swing_before,
v6,-0.036,1,40,101,0.476,0.005,11.6,1.00,64,2,681,21.6,,6.338,SURVIVED,post< kp=30,1,30,post_after,
v6,+0.030,0,3,0,0.426,0.529,219.2,1.00,178,23,493,74.3,3.320,6.338,FELL,swing> kp=3,1,3,swing_before,
v6,+0.030,1,3,0,0.436,0.530,151.5,1.01,179,22,482,771.3,3.325,6.338,FELL,swing> kp=3,1,3,swing_before,
v6,-0.030,0,2,-0,0.424,0.533,184.6,1.01,164,13,457,206.5,2.915,6.338,FELL,swing> kp=3,1,3,swing_before,
v6,+0.036,0,2,0,0.441,0.523,95.6,1.00,178,14,484,187.3,2.925,6.338,FELL,swing> kp=3,1,3,swing_before,
v6,-0.030,1,3,-0,0.403,0.554,218.7,1.01,142,26,511,210.8,3.345,6.338,FELL,swing> kp=3,1,3,swing_before,
v6,+0.036,1,2,0,0.420,0.526,143.6,1.00,200,35,485,825.0,2.955,6.338,FELL,swing> kp=3,1,3,swing_before,
v6,-0.036,1,2,-0,0.431,0.543,81.2,1.00,194,11,487,170.6,2.935,6.338,FELL,swing> kp=3,1,3,swing_before,
v6,-0.036,0,3,-0,0.371,0.532,446.8,1.00,205,29,506,197.7,3.245,6.338,FELL,swing> kp=3,1,3,swing_before,
v6,+0.045,1,3,0,0.413,0.524,413.5,1.01,202,33,495,180.4,3.145,6.338,FELL,swing> kp=3,1,3,swing_before,
v6,+0.045,0,4,0,0.411,0.562,232.5,1.00,186,24,598,108.4,3.670,6.338,FELL,swing> kp=3,1,3,swing_before,
v6,-0.045,1,2,-0,0.438,0.522,97.0,1.00,199,8,470,121.4,2.970,6.338,FELL,swing> kp=3,1,3,swing_before,
v6,+0.055,0,2,0,0.434,0.533,66.2,1.00,125,8,441,45.2,2.990,6.338,FELL,swing> kp=3,1,3,swing_before,
v6,-0.055,0,2,-0,0.418,0.541,115.5,1.01,202,25,483,418.4,3.035,6.338,FELL,swing> kp=3,1,3,swing_before,
v6,+0.055,1,3,0,0.409,0.527,380.2,1.01,145,21,475,161.1,3.360,6.338,FELL,swing> kp=3,1,3,swing_before,
v6,-0.055,1,3,-0,0.406,0.528,279.6,1.00,202,33,458,1077.4,3.285,6.338,FELL,swing> kp=3,1,3,swing_before,
v6,-0.045,0,7,-112,0.432,0.532,104.8,1.01,162,30,757,453.5,5.520,6.338,FELL,swing> kp=3,1,3,swing_before,
v6,+0.018,1,4,0,0.392,0.536,283.8,1.00,199,32,649,500.8,4.150,6.338,FELL,swing> kp=30,1,30,swing_before,
v6,-0.022,1,2,-0,0.427,0.521,297.9,1.01,186,25,446,453.9,3.000,6.338,FELL,swing> kp=30,1,30,swing_before,
v6,-0.018,1,6,-0,0.438,0.540,194.8,1.01,187,12,633,1110.6,5.030,6.338,FELL,swing> kp=30,1,30,swing_before,
v6,+0.022,1,6,0,0.404,0.564,297.7,1.00,183,54,730,599.4,5.080,6.338,FELL,swing> kp=30,1,30,swing_before,
v6,+0.022,0,7,1458,0.415,0.526,289.9,1.01,168,35,690,1056.8,5.395,6.338,FELL,swing> kp=30,1,30,swing_before,
v6,-0.018,0,8,-1463,0.414,0.527,371.8,1.01,170,37,681,741.2,5.945,6.338,FELL,swing> kp=30,1,30,swing_before,
v6,+0.018,0,14,138,0.426,0.525,132.0,1.01,115,43,1232,1093.2,9.340,6.338,FELL,swing> kp=30,1,30,swing_before,
v6,-0.022,0,8,-1128,0.422,0.534,394.4,1.01,203,40,782,494.1,6.295,6.338,FELL,swing> kp=30,1,30,swing_before,
v6,+0.026,0,6,0,0.430,0.529,86.4,1.01,126,9,654,1101.1,5.145,6.338,FELL,swing> kp=30,1,30,swing_before,
v6,+0.026,1,3,0,0.443,0.543,328.1,1.23,116,26,480,453.7,3.125,6.338,FELL,swing> kp=30,1,30,swing_before,
v6,-0.026,1,3,-0,0.391,0.545,147.0,1.00,129,24,459,520.4,3.170,6.338,FELL,swing> kp=30,1,30,swing_before,
v6,-0.026,0,4,-0,0.439,0.536,177.8,1.00,203,26,586,491.3,4.120,6.338,FELL,swing> kp=30,1,30,swing_before,
v6,+0.030,1,4,0,0.429,0.543,221.7,1.00,120,28,563,789.4,3.965,6.338,FELL,swing> kp=30,1,30,swing_before,
v6,+0.030,0,5,0,0.401,0.540,275.6,1.00,149,23,668,1122.6,4.575,6.338,FELL,swing> kp=30,1,30,swing_before,
v6,-0.030,0,4,-0,0.345,0.553,374.8,1.01,158,26,632,382.2,3.710,6.338,FELL,swing> kp=30,1,30,swing_before,
v6,-0.030,1,4,-0,0.427,0.535,92.6,1.01,193,21,546,607.3,3.875,6.338,FELL,swing> kp=30,1,30,swing_before,
v6,+0.036,0,3,0,0.407,0.531,254.5,1.01,179,38,552,1168.6,3.620,6.338,FELL,swing> kp=30,1,30,swing_before,
v6,+0.036,1,3,0,0.433,0.522,200.8,1.00,128,15,518,55.6,3.595,6.338,FELL,swing> kp=30,1,30,swing_before,
v6,-0.036,0,3,-0,0.422,0.521,190.7,1.01,199,24,475,537.1,3.155,6.338,FELL,swing> kp=30,1,30,swing_before,
v6,-0.036,1,3,-0,0.423,0.524,253.8,1.01,197,33,512,483.4,3.525,6.338,FELL,swing> kp=30,1,30,swing_before,
v6,+0.045,0,4,0,0.317,0.526,413.9,1.17,193,35,592,306.0,3.730,6.338,FELL,swing> kp=30,1,30,swing_before,
v6,+0.045,1,3,0,0.453,0.525,257.3,1.01,164,21,519,125.7,3.315,6.338,FELL,swing> kp=30,1,30,swing_before,
v6,-0.045,0,3,-0,0.397,0.534,330.1,1.00,189,16,508,55.1,3.475,6.338,FELL,swing> kp=30,1,30,swing_before,
v6,-0.045,1,6,-0,0.406,0.520,408.5,1.00,195,39,649,1065.3,5.040,6.338,FELL,swing> kp=30,1,30,swing_before,
v6,+0.055,1,5,0,0.345,0.575,334.5,1.02,197,48,648,1631.9,4.645,6.338,FELL,swing> kp=30,1,30,swing_before,
